sensor_id,neighbor_id,distance_km
be427cee-4c3a-4aa2-a1ce-9795a74533be,16836a55-7140-43e2-9a63-56fac5cba714,1.373216
16836a55-7140-43e2-9a63-56fac5cba714,be427cee-4c3a-4aa2-a1ce-9795a74533be,1.373216
be427cee-4c3a-4aa2-a1ce-9795a74533be,2001,1.670712
2001,be427cee-4c3a-4aa2-a1ce-9795a74533be,1.670712
be427cee-4c3a-4aa2-a1ce-9795a74533be,2002,0.479656
2002,be427cee-4c3a-4aa2-a1ce-9795a74533be,0.479656
be427cee-4c3a-4aa2-a1ce-9795a74533be,24039f11-a4fc-4b2d-8bc0-6fd36059f117,2.247058
24039f11-a4fc-4b2d-8bc0-6fd36059f117,be427cee-4c3a-4aa2-a1ce-9795a74533be,2.247058
be427cee-4c3a-4aa2-a1ce-9795a74533be,874ff9c6-786d-45fc-a90e-48c7ffe03417,2.361949
874ff9c6-786d-45fc-a90e-48c7ffe03417,be427cee-4c3a-4aa2-a1ce-9795a74533be,2.361949
be427cee-4c3a-4aa2-a1ce-9795a74533be,23b735ef-a996-4a7f-9998-2aa7e78827b0,1.924534
23b735ef-a996-4a7f-9998-2aa7e78827b0,be427cee-4c3a-4aa2-a1ce-9795a74533be,1.924534
be427cee-4c3a-4aa2-a1ce-9795a74533be,ece1058a-ecab-4736-872f-790145aaadfe,8.994039
ece1058a-ecab-4736-872f-790145aaadfe,be427cee-4c3a-4aa2-a1ce-9795a74533be,8.994039
be427cee-4c3a-4aa2-a1ce-9795a74533be,40f081a6-4095-43f7-bffb-64e2af8c026e,0.660917
40f081a6-4095-43f7-bffb-64e2af8c026e,be427cee-4c3a-4aa2-a1ce-9795a74533be,0.660917
be427cee-4c3a-4aa2-a1ce-9795a74533be,7b316592-8036-41e2-b8dc-b06b6a9afd54,0.931740
7b316592-8036-41e2-b8dc-b06b6a9afd54,be427cee-4c3a-4aa2-a1ce-9795a74533be,0.931740
be427cee-4c3a-4aa2-a1ce-9795a74533be,692c454c-a1ad-41fa-b3ca-aa1cb7d55d30,2.588767
