timestamp,sensorId,humidity,pressure,temperature,wind_speed
2025-12-28 16:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,63,931.7,0.9,2.9
2025-12-28 17:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,65,932.3,-0.1,1.1
2025-12-28 18:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,67,933.0,-0.6,3.7
2025-12-28 19:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,74,933.4,-1.0,2.4
2025-12-28 20:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,74,933.7,-1.3,1.9
2025-12-28 21:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,73,934.2,-1.4,1.9
2025-12-28 22:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,79,934.2,-1.8,2.1
2025-12-28 23:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,84,934.4,-2.1,2.3
2025-12-29 00:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,81,933.8,-2.5,5.2
2025-12-29 01:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,80,934.1,-2.7,4.7
2025-12-29 02:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,80,933.6,-3.1,5.0
2025-12-29 03:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,72,934.1,-3.2,5.5
2025-12-29 04:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,69,934.0,-3.2,5.1
2025-12-29 05:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,69,934.4,-3.1,4.7
2025-12-29 06:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,65,934.5,-3.4,5.8
2025-12-29 07:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,64,935.4,-2.5,4.4
2025-12-29 08:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,63,935.6,-0.7,1.6
2025-12-29 09:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,56,936.3,0.7,2.9
2025-12-29 10:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,54,935.2,1.5,2.5
2025-12-29 11:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,56,934.7,2.2,2.6
2025-12-29 12:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,58,934.0,3.4,4.6
2025-12-29 13:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,60,933.8,3.7,4.1
2025-12-29 14:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,60,933.3,3.5,3.6
2025-12-29 15:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,60,932.9,3.2,3.2
